close,high,low,open,volume,time
28.83,28.87,28.17,28.6,2746634,2017-01-03 07:00:00+00:00
30.26,30.3,29.02,29.02,3339520,2017-01-04 07:00:00+00:00
30.65,30.93,30.115,30.18,2444552,2017-01-05 07:00:00+00:00
30.68,31.1,30.31,30.69,2086333,2017-01-06 07:00:00+00:00
29.48,30.88,29.215,30.88,4205059,2017-01-09 07:00:00+00:00
30.98,31.1,29.73,29.83,3824409,2017-01-10 07:00:00+00:00
31.97,32.0,31.08,31.08,3068269,2017-01-11 07:00:00+00:00
33.04,33.5,32.51,33.0,4521704,2017-01-12 07:00:00+00:00
33.01,33.43,32.53,32.82,3026712,2017-01-13 07:00:00+00:00
32.64,33.04,32.52,32.97,1382009,2017-01-17 07:00:00+00:00
34.81,34.83,32.64,32.95,6420118,2017-01-18 07:00:00+00:00
35.42,35.63,34.18,34.22,5050105,2017-01-19 07:00:00+00:00
35.66,35.74,34.93,35.4,5330864,2017-01-20 07:00:00+00:00
36.29,36.395,35.455,35.92,5245003,2017-01-23 07:00:00+00:00
37.5,38.38,37.18,37.18,11911148,2017-01-24 07:00:00+00:00
36.53,38.94,36.31,38.58,13583342,2017-01-25 07:00:00+00:00
36.3,37.0699,35.51,36.22,5735412,2017-01-26 07:00:00+00:00
36.67,37.39,36.27,36.3,3618336,2017-01-27 07:00:00+00:00
36.55,36.59,35.77,36.48,3002400,2017-01-30 07:00:00+00:00
36.45,37.23,36.01,36.78,2690280,2017-01-31 07:00:00+00:00
36.26,37.19,36.2,36.58,2905397,2017-02-01 07:00:00+00:00
37.68,38.37,36.63,36.7,5049682,2017-02-02 07:00:00+00:00
36.86,38.05,36.83,37.87,5243335,2017-02-03 07:00:00+00:00
37.75,38.0,36.8,36.9,2833872,2017-02-06 07:00:00+00:00
37.97,38.25,37.31,38.04,3269994,2017-02-07 07:00:00+00:00
37.54,38.5,37.11,37.93,3121713,2017-02-08 07:00:00+00:00
37.42,37.75,36.994,37.41,3392385,2017-02-09 07:00:00+00:00
38.3,38.54,37.505,37.92,3629116,2017-02-10 07:00:00+00:00
