close,high,low,open,time
19.13,19.13,17.82,18.07,2018-10-01 07:00:00+00:00
18.16,19.02,17.98,19.02,2018-10-01 07:15:00+00:00
18.17,18.17,18.17,18.17,2018-10-01 07:30:00+00:00
18.45,18.48,18.37,18.37,2018-10-01 07:45:00+00:00
19.28,20.0,18.45,18.45,2018-10-01 08:00:00+00:00
19.47,19.8,19.35,19.67,2018-10-01 08:15:00+00:00
19.8,19.82,19.4,19.4,2018-10-01 08:30:00+00:00
20.03,20.26,19.65,19.8,2018-10-01 08:45:00+00:00
20.05,20.19,20.0,20.03,2018-10-01 09:00:00+00:00
20.05,20.18,20.04,20.05,2018-10-01 09:15:00+00:00
20.24,20.25,20.05,20.05,2018-10-01 09:30:00+00:00
20.16,20.26,20.16,20.24,2018-10-01 09:45:00+00:00
20.23,20.23,20.06,20.17,2018-10-01 10:00:00+00:00
20.07,20.25,20.07,20.23,2018-10-01 10:15:00+00:00
19.98,20.13,19.98,20.06,2018-10-01 10:30:00+00:00
20.08,20.23,19.87,19.95,2018-10-01 10:45:00+00:00
20.1,20.2,20.08,20.2,2018-10-01 11:00:00+00:00
20.24,20.26,20.04,20.08,2018-10-01 11:15:00+00:00
20.76,20.79,20.26,20.33,2018-10-01 11:30:00+00:00
20.56,20.82,20.54,20.76,2018-10-01 11:45:00+00:00
20.38,20.59,20.37,20.57,2018-10-01 12:00:00+00:00
20.36,20.45,20.29,20.38,2018-10-01 12:15:00+00:00
20.2,20.36,20.13,20.36,2018-10-01 12:30:00+00:00
20.25,20.28,20.21,20.21,2018-10-01 12:45:00+00:00
20.12,20.26,20.03,20.24,2018-10-01 13:00:00+00:00
20.16,20.26,20.1,20.12,2018-10-01 13:15:00+00:00
20.14,20.34,19.87,20.16,2018-10-01 13:30:00+00:00
20.53,20.55,20.06,20.14,2018-10-01 13:45:00+00:00
20.32,20.53,20.27,20.53,2018-10-01 14:00:00+00:00
20.49,20.52,20.28,20.32,2018-10-01 14:15:00+00:00
20.29,20.53,20.29,20.49,2018-10-01 14:30:00+00:00
20.42,20.44,20.27,20.29,2018-10-01 14:45:00+00:00
20.31,20.42,20.28,20.42,2018-10-01 15:00:00+00:00
20.29,20.4,20.22,20.31,2018-10-01 15:15:00+00:00
20.17,20.32,20.17,20.28,2018-10-01 15:30:00+00:00
20.15,20.22,20.13,20.17,2018-10-01 15:45:00+00:00
20.06,20.15,19.98,20.15,2018-10-01 16:00:00+00:00
20.07,20.09,20.0,20.05,2018-10-01 16:15:00+00:00
20.15,20.19,20.06,20.07,2018-10-01 16:30:00+00:00
20.23,20.25,20.13,20.14,2018-10-01 16:45:00+00:00
20.31,20.37,20.23,20.23,2018-10-01 17:00:00+00:00
20.27,20.38,20.27,20.31,2018-10-01 17:15:00+00:00
20.34,20.34,20.25,20.27,2018-10-01 17:30:00+00:00
20.28,20.37,20.28,20.34,2018-10-01 17:45:00+00:00
20.41,20.42,20.26,20.28,2018-10-01 18:00:00+00:00
20.32,20.42,20.27,20.41,2018-10-01 18:15:00+00:00
20.39,20.39,20.29,20.32,2018-10-01 18:30:00+00:00
20.45,20.46,20.35,20.39,2018-10-01 18:45:00+00:00
20.42,20.46,20.4,20.45,2018-10-01 19:00:00+00:00
20.37,20.49,20.33,20.42,2018-10-01 19:15:00+00:00
20.43,20.44,20.34,20.37,2018-10-01 19:30:00+00:00
20.48,20.56,20.39,20.43,2018-10-01 19:45:00+00:00
20.52,20.52,20.46,20.51,2018-10-01 20:00:00+00:00
20.52,20.53,20.51,20.52,2018-10-01 20:15:00+00:00
20.49,20.52,20.49,20.52,2018-10-01 20:30:00+00:00
20.5,20.51,20.48,20.49,2018-10-01 20:45:00+00:00
20.47,20.48,20.43,20.48,2018-10-01 21:00:00+00:00
20.44,20.47,20.44,20.47,2018-10-01 21:15:00+00:00
20.49,20.49,20.44,20.44,2018-10-01 21:30:00+00:00
20.49,20.49,20.46,20.49,2018-10-01 21:45:00+00:00
20.47,20.49,20.47,20.47,2018-10-01 22:00:00+00:00
20.47,20.47,20.46,20.46,2018-10-01 22:15:00+00:00
20.46,20.48,20.46,20.48,2018-10-01 22:30:00+00:00
20.46,20.47,20.46,20.46,2018-10-01 22:45:00+00:00
20.46,20.46,20.44,20.44,2018-10-01 23:00:00+00:00
20.47,20.47,20.44,20.46,2018-10-01 23:15:00+00:00
20.39,20.48,20.39,20.47,2018-10-01 23:30:00+00:00
20.36,20.39,20.34,20.39,2018-10-01 23:45:00+00:00
20.26,20.26,20.26,20.26,2018-10-02 07:00:00+00:00
20.42,20.42,20.42,20.42,2018-10-02 07:30:00+00:00
20.23,20.23,20.23,20.23,2018-10-02 07:45:00+00:00
20.49,20.49,20.24,20.24,2018-10-02 08:00:00+00:00
20.49,20.49,20.49,20.49,2018-10-02 08:15:00+00:00
20.28,20.28,20.28,20.28,2018-10-02 08:30:00+00:00
20.28,20.45,20.28,20.45,2018-10-02 08:45:00+00:00
20.28,20.46,20.28,20.46,2018-10-02 09:00:00+00:00
20.45,20.45,20.45,20.45,2018-10-02 09:15:00+00:00
20.33,20.33,20.33,20.33,2018-10-02 09:45:00+00:00
20.31,20.31,20.29,20.29,2018-10-02 10:00:00+00:00
20.35,20.35,20.35,20.35,2018-10-02 10:15:00+00:00
20.44,20.44,20.44,20.44,2018-10-02 10:45:00+00:00
20.32,20.32,20.32,20.32,2018-10-02 11:00:00+00:00
20.37,20.37,20.37,20.37,2018-10-02 11:15:00+00:00
20.3,20.37,20.28,20.37,2018-10-02 11:30:00+00:00
20.31,20.32,20.27,20.27,2018-10-02 11:45:00+00:00
20.31,20.32,20.31,20.32,2018-10-02 12:00:00+00:00
20.31,20.31,20.29,20.31,2018-10-02 12:15:00+00:00
20.51,20.76,20.13,20.31,2018-10-02 12:30:00+00:00
20.57,20.58,20.33,20.51,2018-10-02 12:45:00+00:00
20.83,20.96,20.56,20.57,2018-10-02 13:00:00+00:00
20.72,20.88,20.69,20.84,2018-10-02 13:15:00+00:00
20.43,20.91,20.39,20.72,2018-10-02 13:30:00+00:00
20.3,20.56,20.16,20.43,2018-10-02 13:45:00+00:00
20.16,20.33,20.0,20.3,2018-10-02 14:00:00+00:00
20.21,20.25,20.1,20.16,2018-10-02 14:15:00+00:00
20.15,20.2,20.06,20.2,2018-10-02 14:30:00+00:00
20.24,20.31,20.12,20.14,2018-10-02 14:45:00+00:00
20.24,20.3,20.2,20.24,2018-10-02 15:00:00+00:00
20.19,20.23,20.09,20.23,2018-10-02 15:15:00+00:00
20.24,20.3,20.16,20.18,2018-10-02 15:30:00+00:00
20.3,20.34,20.24,20.25,2018-10-02 15:45:00+00:00
20.24,20.31,20.21,20.3,2018-10-02 16:00:00+00:00
20.2,20.25,20.17,20.24,2018-10-02 16:15:00+00:00
20.22,20.24,20.18,20.19,2018-10-02 16:30:00+00:00
20.2,20.24,20.12,20.23,2018-10-02 16:45:00+00:00
20.22,20.25,20.14,20.18,2018-10-02 17:00:00+00:00
20.23,20.24,20.17,20.23,2018-10-02 17:15:00+00:00
20.17,20.24,20.16,20.24,2018-10-02 17:30:00+00:00
20.09,20.18,20.07,20.17,2018-10-02 17:45:00+00:00
20.07,20.11,20.03,20.08,2018-10-02 18:00:00+00:00
20.05,20.12,20.04,20.07,2018-10-02 18:15:00+00:00
19.94,20.04,19.94,20.04,2018-10-02 18:30:00+00:00
19.94,20.05,19.94,19.94,2018-10-02 18:45:00+00:00
19.87,19.94,19.82,19.94,2018-10-02 19:00:00+00:00
19.79,19.87,19.75,19.87,2018-10-02 19:15:00+00:00
19.81,19.83,19.76,19.8,2018-10-02 19:30:00+00:00
19.86,19.92,19.81,19.82,2018-10-02 19:45:00+00:00
19.87,19.88,19.84,19.87,2018-10-02 20:00:00+00:00
19.85,19.87,19.84,19.84,2018-10-02 20:15:00+00:00
19.85,19.86,19.85,19.85,2018-10-02 20:30:00+00:00
19.86,19.87,19.85,19.85,2018-10-02 20:45:00+00:00
19.86,19.86,19.85,19.86,2018-10-02 21:00:00+00:00
19.86,19.86,19.85,19.85,2018-10-02 21:15:00+00:00
19.86,19.86,19.85,19.86,2018-10-02 21:30:00+00:00
19.83,19.86,19.83,19.86,2018-10-02 21:45:00+00:00
19.82,19.85,19.82,19.85,2018-10-02 22:00:00+00:00
19.84,19.84,19.83,19.83,2018-10-02 22:15:00+00:00
19.87,19.87,19.83,19.83,2018-10-02 22:30:00+00:00
19.89,19.89,19.88,19.88,2018-10-02 22:45:00+00:00
19.89,19.89,19.87,19.87,2018-10-02 23:00:00+00:00
19.93,19.93,19.9,19.91,2018-10-02 23:15:00+00:00
20.07,20.07,19.98,19.99,2018-10-02 23:30:00+00:00
20.01,20.01,20.0,20.0,2018-10-02 23:45:00+00:00
20.09,20.09,20.03,20.03,2018-10-03 07:00:00+00:00
20.06,20.09,20.06,20.09,2018-10-03 07:15:00+00:00
20.04,20.04,20.04,20.04,2018-10-03 07:30:00+00:00
20.06,20.06,20.06,20.06,2018-10-03 07:45:00+00:00
20.09,20.09,20.07,20.07,2018-10-03 08:00:00+00:00
20.17,20.17,20.11,20.11,2018-10-03 08:15:00+00:00
20.12,20.12,20.12,20.12,2018-10-03 08:45:00+00:00
20.12,20.14,20.12,20.12,2018-10-03 09:00:00+00:00
20.11,20.14,20.11,20.14,2018-10-03 09:30:00+00:00
20.15,20.15,20.11,20.11,2018-10-03 09:45:00+00:00
20.11,20.11,20.11,20.11,2018-10-03 10:00:00+00:00
20.18,20.19,20.18,20.19,2018-10-03 10:15:00+00:00
20.11,20.11,20.11,20.11,2018-10-03 10:30:00+00:00
20.11,20.11,20.11,20.11,2018-10-03 10:45:00+00:00
20.18,20.21,20.17,20.17,2018-10-03 11:00:00+00:00
20.12,20.12,20.12,20.12,2018-10-03 11:15:00+00:00
20.12,20.12,20.1,20.12,2018-10-03 11:30:00+00:00
20.05,20.12,20.04,20.11,2018-10-03 11:45:00+00:00
20.04,20.1,20.04,20.06,2018-10-03 12:00:00+00:00
20.05,20.06,19.88,20.05,2018-10-03 12:15:00+00:00
20.06,20.09,20.03,20.04,2018-10-03 12:30:00+00:00
20.04,20.06,20.04,20.06,2018-10-03 12:45:00+00:00
20.03,20.05,20.03,20.05,2018-10-03 13:00:00+00:00
20.04,20.08,20.02,20.03,2018-10-03 13:15:00+00:00
19.92,20.1,19.82,20.02,2018-10-03 13:30:00+00:00
19.83,19.96,19.81,19.92,2018-10-03 13:45:00+00:00
19.71,19.92,19.62,19.83,2018-10-03 14:00:00+00:00
19.71,19.78,19.61,19.71,2018-10-03 14:15:00+00:00
19.68,19.75,19.66,19.71,2018-10-03 14:30:00+00:00
19.43,19.69,19.41,19.67,2018-10-03 14:45:00+00:00
19.41,19.48,19.31,19.44,2018-10-03 15:00:00+00:00
19.4,19.52,19.36,19.41,2018-10-03 15:15:00+00:00
19.37,19.44,19.33,19.4,2018-10-03 15:30:00+00:00
19.37,19.41,19.35,19.37,2018-10-03 15:45:00+00:00
19.32,19.37,19.24,19.37,2018-10-03 16:00:00+00:00
19.49,19.51,19.27,19.31,2018-10-03 16:15:00+00:00
19.43,19.5,19.4,19.48,2018-10-03 16:30:00+00:00
19.42,19.47,19.35,19.44,2018-10-03 16:45:00+00:00
19.44,19.47,19.41,19.41,2018-10-03 17:00:00+00:00
19.45,19.45,19.41,19.44,2018-10-03 17:15:00+00:00
19.42,19.45,19.33,19.44,2018-10-03 17:30:00+00:00
19.37,19.45,19.34,19.42,2018-10-03 17:45:00+00:00
19.36,19.37,19.33,19.37,2018-10-03 18:00:00+00:00
19.36,19.37,19.29,19.36,2018-10-03 18:15:00+00:00
19.3,19.37,19.26,19.37,2018-10-03 18:30:00+00:00
19.35,19.35,19.29,19.31,2018-10-03 18:45:00+00:00
19.3,19.35,19.28,19.35,2018-10-03 19:00:00+00:00
19.42,19.45,19.3,19.31,2018-10-03 19:15:00+00:00
19.42,19.47,19.42,19.43,2018-10-03 19:30:00+00:00
19.47,19.51,19.43,19.43,2018-10-03 19:45:00+00:00
19.38,19.49,19.38,19.47,2018-10-03 20:00:00+00:00
19.43,19.43,19.37,19.37,2018-10-03 20:15:00+00:00
19.45,19.45,19.42,19.42,2018-10-03 20:30:00+00:00
19.4,19.42,19.4,19.42,2018-10-03 20:45:00+00:00
19.43,19.43,19.43,19.43,2018-10-03 21:00:00+00:00
19.44,19.45,19.44,19.45,2018-10-03 21:15:00+00:00
19.43,19.44,19.43,19.43,2018-10-03 21:30:00+00:00
19.45,19.45,19.43,19.43,2018-10-03 21:45:00+00:00
19.45,19.45,19.45,19.45,2018-10-03 22:00:00+00:00
19.43,19.43,19.42,19.42,2018-10-03 22:30:00+00:00
19.44,19.44,19.42,19.43,2018-10-03 22:45:00+00:00
19.41,19.44,19.41,19.44,2018-10-03 23:00:00+00:00
19.4,19.4,19.4,19.4,2018-10-03 23:15:00+00:00
19.46,19.46,19.43,19.43,2018-10-03 23:45:00+00:00
19.46,19.46,19.46,19.46,2018-10-04 07:00:00+00:00
19.44,19.44,19.44,19.44,2018-10-04 07:30:00+00:00
19.43,19.43,19.43,19.43,2018-10-04 07:45:00+00:00
19.44,19.46,19.44,19.46,2018-10-04 08:45:00+00:00
19.41,19.41,19.41,19.41,2018-10-04 09:00:00+00:00
19.44,19.44,19.44,19.44,2018-10-04 09:45:00+00:00
19.48,19.48,19.48,19.48,2018-10-04 10:15:00+00:00
19.44,19.45,19.44,19.45,2018-10-04 10:30:00+00:00
19.36,19.4,19.36,19.4,2018-10-04 10:45:00+00:00
19.4,19.4,19.4,19.4,2018-10-04 11:15:00+00:00
19.37,19.4,19.37,19.4,2018-10-04 11:30:00+00:00
19.39,19.39,19.37,19.37,2018-10-04 11:45:00+00:00
19.4,19.45,19.4,19.4,2018-10-04 12:00:00+00:00
19.37,19.4,19.37,19.4,2018-10-04 12:15:00+00:00
19.39,19.4,19.38,19.4,2018-10-04 12:30:00+00:00
19.4,19.42,19.39,19.39,2018-10-04 12:45:00+00:00
19.4,19.43,19.4,19.43,2018-10-04 13:00:00+00:00
19.39,19.4,19.38,19.4,2018-10-04 13:15:00+00:00
19.15,19.4,19.15,19.4,2018-10-04 13:30:00+00:00
19.1,19.2,19.05,19.16,2018-10-04 13:45:00+00:00
18.93,19.13,18.91,19.1,2018-10-04 14:00:00+00:00
18.91,18.98,18.86,18.93,2018-10-04 14:15:00+00:00
18.75,18.93,18.68,18.92,2018-10-04 14:30:00+00:00
18.79,18.84,18.73,18.75,2018-10-04 14:45:00+00:00
18.71,18.83,18.69,18.78,2018-10-04 15:00:00+00:00
18.7,18.78,18.69,18.72,2018-10-04 15:15:00+00:00
18.63,18.71,18.59,18.69,2018-10-04 15:30:00+00:00
18.57,18.65,18.52,18.63,2018-10-04 15:45:00+00:00
18.55,18.63,18.52,18.56,2018-10-04 16:00:00+00:00
18.41,18.55,18.33,18.55,2018-10-04 16:15:00+00:00
18.5,18.54,18.41,18.41,2018-10-04 16:30:00+00:00
18.43,18.58,18.43,18.5,2018-10-04 16:45:00+00:00
18.46,18.53,18.43,18.43,2018-10-04 17:00:00+00:00
18.43,18.47,18.35,18.47,2018-10-04 17:15:00+00:00
18.48,18.5,18.37,18.43,2018-10-04 17:30:00+00:00
18.37,18.49,18.35,18.47,2018-10-04 17:45:00+00:00
18.45,18.46,18.35,18.35,2018-10-04 18:00:00+00:00
18.44,18.46,18.39,18.45,2018-10-04 18:15:00+00:00
18.58,18.63,18.42,18.44,2018-10-04 18:30:00+00:00
18.6,18.63,18.52,18.58,2018-10-04 18:45:00+00:00
18.66,18.7,18.56,18.6,2018-10-04 19:00:00+00:00
18.51,18.69,18.47,18.66,2018-10-04 19:15:00+00:00
18.49,18.54,18.45,18.5,2018-10-04 19:30:00+00:00
18.6,18.61,18.48,18.49,2018-10-04 19:45:00+00:00
18.67,18.68,18.55,18.6,2018-10-04 20:00:00+00:00
18.05,18.72,18.03,18.66,2018-10-04 20:15:00+00:00
18.2,18.34,18.02,18.05,2018-10-04 20:30:00+00:00
18.16,18.21,18.13,18.19,2018-10-04 20:45:00+00:00
18.14,18.18,18.09,18.16,2018-10-04 21:00:00+00:00
18.0,18.14,17.95,18.11,2018-10-04 21:15:00+00:00
18.16,18.17,18.01,18.07,2018-10-04 21:30:00+00:00
18.22,18.25,18.07,18.16,2018-10-04 21:45:00+00:00
18.25,18.28,18.16,18.22,2018-10-04 22:00:00+00:00
18.2,18.3,18.17,18.28,2018-10-04 22:15:00+00:00
18.2,18.22,18.2,18.22,2018-10-04 22:30:00+00:00
18.21,18.22,18.18,18.22,2018-10-04 22:45:00+00:00
18.26,18.28,18.19,18.19,2018-10-04 23:00:00+00:00
18.28,18.3,18.25,18.26,2018-10-04 23:15:00+00:00
18.18,18.26,18.18,18.26,2018-10-04 23:30:00+00:00
18.12,18.19,18.08,18.19,2018-10-04 23:45:00+00:00
18.32,18.32,18.3,18.3,2018-10-05 07:00:00+00:00
18.3,18.34,18.3,18.34,2018-10-05 07:15:00+00:00
18.31,18.31,18.31,18.31,2018-10-05 07:45:00+00:00
18.22,18.31,18.08,18.31,2018-10-05 08:00:00+00:00
18.21,18.22,18.21,18.21,2018-10-05 08:15:00+00:00
18.12,18.12,18.12,18.12,2018-10-05 08:30:00+00:00
18.21,18.21,18.21,18.21,2018-10-05 08:45:00+00:00
18.15,18.21,18.12,18.12,2018-10-05 09:00:00+00:00
18.21,18.21,18.21,18.21,2018-10-05 09:15:00+00:00
18.21,18.21,18.21,18.21,2018-10-05 09:30:00+00:00
18.21,18.21,18.21,18.21,2018-10-05 09:45:00+00:00
18.21,18.21,18.21,18.21,2018-10-05 10:00:00+00:00
18.21,18.21,18.21,18.21,2018-10-05 10:15:00+00:00
18.21,18.21,18.21,18.21,2018-10-05 10:30:00+00:00
18.18,18.25,18.15,18.15,2018-10-05 10:45:00+00:00
18.02,18.16,18.02,18.1,2018-10-05 11:00:00+00:00
18.14,18.14,18.14,18.14,2018-10-05 11:15:00+00:00
18.0,18.02,17.99,18.0,2018-10-05 11:30:00+00:00
18.04,18.04,17.97,17.99,2018-10-05 11:45:00+00:00
18.05,18.08,18.04,18.04,2018-10-05 12:00:00+00:00
18.07,18.08,18.03,18.06,2018-10-05 12:15:00+00:00
18.07,18.08,18.04,18.06,2018-10-05 12:30:00+00:00
18.08,18.11,18.02,18.06,2018-10-05 12:45:00+00:00
18.04,18.13,18.02,18.08,2018-10-05 13:00:00+00:00
18.13,18.13,18.04,18.07,2018-10-05 13:15:00+00:00
17.93,18.14,17.89,18.11,2018-10-05 13:30:00+00:00
17.7,17.99,17.66,17.93,2018-10-05 13:45:00+00:00
17.72,17.73,17.63,17.7,2018-10-05 14:00:00+00:00
