iter	RMSE
0	1.143460221
1	1.132737149
2	1.122045067
3	1.11187461
4	1.101538026
5	1.091439858
6	1.081653277
7	1.071451742
8	1.061676986
9	1.051719269
10	1.042141423
11	1.032347332
12	1.022903215
13	1.01364457
14	1.004249248
15	0.9948719708
16	0.9855418502
17	0.9765844619
18	0.9674993536
19	0.9584631345
20	0.9494384545
21	0.9405298196
22	0.9317332718
23	0.9232752463
24	0.9149451645
25	0.9064098556
26	0.8978505075
27	0.8897199969
28	0.8815454293
29	0.8734652691
30	0.8654441877
31	0.8574829889
32	0.8497167995
33	0.842061334
34	0.8344828231
35	0.8267438306
36	0.8190807336
37	0.8115046856
38	0.8040877374
39	0.7965646799
40	0.7890696563
41	0.7820104861
42	0.7748504768
43	0.767904522
44	0.7607107328
45	0.7535707022
46	0.7468634735
47	0.740150909
48	0.7335675867
49	0.7267057447
50	0.7201449661
51	0.7138061162
52	0.7074702592
53	0.7009581209
54	0.6944651536
55	0.6882091122
56	0.6818560068
57	0.6756375032
58	0.6696581273
59	0.6633832037
60	0.6573035022
61	0.6512463827
62	0.6452151869
63	0.6393921166
64	0.6334317309
65	0.6275000694
66	0.6219904672
67	0.6161946762
68	0.610446525
69	0.6047976616
70	0.5990559593
71	0.5934273637
72	0.5879685278
73	0.5825883199
74	0.5770931239
75	0.5720263095
76	0.5666345302
77	0.5615687629
78	0.5564194917
79	0.5512506723
80	0.5461275844
81	0.5410637548
82	0.5362476458
83	0.5313457201
84	0.5265736479
85	0.5217722649
86	0.5168421103
87	0.5120944868
88	0.507434024
89	0.5026935746
90	0.4982308626
91	0.4936096577
92	0.4892099526
93	0.4847591493
94	0.4802980706
95	0.4759150547
96	0.471762155
97	0.467406753
98	0.4629808051
99	0.4586001562
100	0.4544615422
101	0.4502872319
102	0.4462719525
103	0.4421725377
104	0.4383277026
105	0.4342803277
106	0.4302368501
107	0.426187292
108	0.422247294
109	0.4182407056
110	0.414378163
111	0.4106568298
112	0.4069011663
113	0.4030357938
114	0.3993618224
115	0.3955707895
116	0.3918168262
117	0.3882233993
118	0.3846655758
119	0.3810872707
120	0.3775059268
121	0.3740786578
122	0.3706325541
123	0.3672315126
124	0.3640494789
125	0.3606860104
126	0.3573284992
127	0.3539470467
128	0.3507438226
129	0.3475634131
130	0.3444432649
131	0.3412399251
132	0.3380549707
133	0.3349674705
134	0.3318420688
135	0.3288303497
136	0.3258057167
137	0.3227681109
138	0.3197484596
139	0.3168696414
140	0.3139338154
141	0.3110323083
142	0.3081576175
143	0.3053868916
144	0.3025328215
145	0.2998108907
146	0.2970614464
147	0.2942741814
148	0.2915391222
149	0.2888450564
150	0.286230748
151	0.2835332242
152	0.2810541344
153	0.278556822
154	0.275962309
155	0.273382392
156	0.2708040991
157	0.2683036619
158	0.2657961345
159	0.2633969139
160	0.2609965565
161	0.2586002645
162	0.2562971787
163	0.2538988879
164	0.2516372484
165	0.2493063874
166	0.2469805694
167	0.244723553
168	0.2424540565
169	0.2402011976
170	0.2379932721
171	0.2358129875
172	0.2337503995
173	0.2316196682
174	0.2296141707
175	0.227485245
176	0.2253838042
177	0.223316816
178	0.2212948119
179	0.2193032749
180	0.2172983684
181	0.2152800264
182	0.2134615421
183	0.211501545
184	0.2095521523
185	0.2077145905
186	0.2058558644
187	0.2039765589
188	0.2020874685
189	0.200254476
190	0.1985348184
191	0.1967003806
192	0.1949792841
193	0.1932742293
194	0.1915198703
195	0.1898059379
196	0.1880577876
197	0.1864782984
198	0.1848239376
199	0.1831735869
200	0.1815612301
201	0.1799102228
202	0.1782841962
203	0.176725038
204	0.1751140164
205	0.1735294025
206	0.1719304566
207	0.1703461225
208	0.1688091588
209	0.1672939771
210	0.165876103
211	0.1643916188
212	0.1629700003
213	0.1615019097
214	0.1600404774
215	0.158617214
216	0.157171954
217	0.1557778973
218	0.1543948482
219	0.1530235822
220	0.1517436255
221	0.1503972185
222	0.1490312821
223	0.1477012872
224	0.1464070725
225	0.145095874
226	0.1438033336
227	0.1424861499
228	0.1411838326
229	0.1398934111
230	0.1386700764
231	0.1374549354
232	0.1362588695
233	0.1350353595
234	0.1338897286
