iter	Passed	Remaining
0	2	2172
1	4	2171
2	6	2196
3	8	2112
4	10	2061
5	12	2048
6	14	2027
7	16	2023
8	18	2020
9	20	2033
10	22	2065
11	25	2072
12	26	2048
13	28	2032
14	30	2014
15	32	2004
16	34	1999
17	36	2007
18	38	2002
19	40	2005
20	42	1998
21	44	1991
22	46	1994
23	48	1986
24	50	1978
25	52	1970
26	54	1970
27	56	1965
28	58	1954
29	60	1945
30	61	1936
31	63	1925
32	65	1916
33	67	1907
34	68	1902
35	71	1909
36	73	1906
37	74	1898
38	76	1891
39	78	1883
40	80	1878
41	82	1873
42	84	1869
43	86	1872
44	88	1875
45	90	1872
46	92	1867
47	94	1864
48	95	1861
49	97	1859
50	99	1856
51	101	1854
52	103	1852
53	105	1848
54	107	1842
55	108	1837
56	110	1831
57	112	1826
58	114	1823
59	116	1819
60	118	1821
61	120	1821
62	122	1821
63	124	1818
64	126	1815
65	128	1812
66	130	1810
67	131	1807
68	134	1808
69	136	1807
70	137	1805
71	139	1801
72	141	1798
73	143	1794
74	145	1790
75	146	1787
76	148	1784
77	150	1783
78	153	1783
79	155	1783
80	156	1780
81	158	1776
82	160	1772
83	162	1769
84	164	1766
85	165	1764
86	168	1763
87	169	1760
88	171	1758
89	173	1754
90	175	1752
91	177	1748
92	178	1744
93	180	1741
94	182	1739
95	184	1738
96	186	1736
97	188	1737
98	190	1734
99	192	1732
100	194	1729
101	196	1727
102	198	1725
103	199	1723
104	202	1721
105	203	1719
106	206	1720
107	207	1717
108	209	1715
109	211	1712
110	213	1710
111	215	1709
112	217	1707
113	219	1705
114	221	1703
115	223	1701
116	225	1703
117	227	1703
118	230	1703
119	232	1701
120	234	1700
121	236	1699
122	238	1699
123	240	1700
124	243	1702
125	245	1700
126	247	1700
127	249	1699
128	251	1698
129	253	1696
130	255	1694
131	257	1692
132	259	1690
133	261	1687
134	263	1687
135	265	1685
136	267	1682
137	268	1679
138	270	1678
139	273	1677
140	275	1675
141	276	1673
142	279	1672
143	281	1671
144	283	1669
145	285	1667
146	286	1665
147	288	1662
148	290	1660
149	292	1657
150	294	1657
151	297	1657
152	299	1655
153	300	1653
154	302	1650
155	304	1648
156	306	1646
157	308	1643
158	310	1641
159	312	1640
160	314	1637
161	316	1635
162	317	1632
163	319	1629
164	321	1627
165	323	1625
166	325	1624
167	327	1622
168	329	1620
169	331	1618
170	333	1615
171	335	1613
172	337	1611
173	338	1608
174	340	1606
175	342	1605
176	344	1603
177	346	1601
178	348	1599
179	350	1596
180	352	1594
181	354	1591
182	355	1589
183	357	1586
184	359	1584
185	361	1582
186	363	1580
187	365	1577
188	367	1575
189	369	1573
190	370	1571
191	372	1568
192	374	1566
193	376	1564
194	378	1563
195	380	1560
196	382	1558
197	384	1556
198	386	1554
199	388	1553
200	390	1552
201	393	1552
202	395	1551
203	397	1550
204	399	1549
205	401	1547
206	403	1545
207	405	1543
208	407	1543
209	409	1542
210	411	1539
211	413	1537
212	415	1535
