,Время,Сумма
0,01.07.2018,384984.92
1,02.07.2018,359446.91
2,03.07.2018,388709.37
3,04.07.2018,421078.51
4,05.07.2018,420983.48
5,06.07.2018,556291.8
6,07.07.2018,528039.84
7,08.07.2018,418223.2
8,09.07.2018,414535.43
9,10.07.2018,429991.77
10,11.07.2018,453199.21
11,12.07.2018,444014.33
12,13.07.2018,571723.94
13,14.07.2018,660586.72
14,15.07.2018,544283.19
15,16.07.2018,447596.18
16,17.07.2018,456715.79
17,18.07.2018,517890.47
18,19.07.2018,492804.12
19,20.07.2018,613102.18
20,21.07.2018,562997.25
21,22.07.2018,486650.25
22,23.07.2018,415544.71
23,24.07.2018,454008.99
24,25.07.2018,466535.13
25,26.07.2018,425767.9
26,27.07.2018,579686.6
27,28.07.2018,638195.04
28,29.07.2018,483787.78
29,30.07.2018,389939.41
30,31.07.2018,453854.05
31,01.08.2018,482488.82
32,02.08.2018,471408.36
33,03.08.2018,618663.55
34,04.08.2018,544043.9
35,05.08.2018,430562.52
36,06.08.2018,397822.6
37,07.08.2018,402688.52
38,08.08.2018,393863.3
39,09.08.2018,444735.99
40,10.08.2018,572190.18
41,11.08.2018,584058.57
42,12.08.2018,396680.49
43,13.08.2018,362231.63
44,14.08.2018,413232.69
45,15.08.2018,369709.64
46,16.08.2018,445094.53
47,17.08.2018,559137.78
48,18.08.2018,527668.49
49,19.08.2018,421295.69
50,20.08.2018,371790.62
51,21.08.2018,384857.87
52,22.08.2018,346794.19
53,23.08.2018,395840.18
54,24.08.2018,548152.5
55,25.08.2018,473488.06
56,26.08.2018,372824.68
57,27.08.2018,360003.36
58,28.08.2018,379658.66
59,29.08.2018,352787.33
60,30.08.2018,387623.97
61,31.08.2018,437818.15
62,01.09.2018,381427.22
63,02.09.2018,373223.84
64,03.09.2018,355904.61
65,04.09.2018,373677.06
66,05.09.2018,368967.08
67,06.09.2018,363439.75
68,07.09.2018,508383.25
69,08.09.2018,512173.99
70,09.09.2018,381612.97
71,10.09.2018,366348.52
