DATE,value
01/01/1972,59.9622
01/02/1972,67.0605
01/03/1972,74.2350
01/04/1972,78.1120
01/05/1972,84.7636
01/06/1972,100.5960
01/07/1972,100.1263
01/08/1972,96.3607
01/09/1972,85.8007
01/10/1972,70.3934
01/11/1972,60.8072
01/12/1972,58.6598
01/01/1973,61.0996
01/02/1973,72.2062
01/03/1973,80.0984
01/04/1973,83.9059
01/05/1973,87.3712
01/06/1973,109.7467
01/07/1973,107.3748
01/08/1973,99.6631
01/09/1973,91.6272
01/10/1973,75.3049
01/11/1973,65.9342
01/12/1973,61.5304
01/01/1974,62.9796
01/02/1974,75.3447
01/03/1974,84.2683
01/04/1974,84.5883
01/05/1974,90.5395
01/06/1974,109.9025
01/07/1974,103.8903
01/08/1974,101.0265
01/09/1974,89.4762
01/10/1974,73.6952
01/11/1974,66.1573
01/12/1974,61.0653
01/01/1975,64.2659
01/02/1975,75.4174
01/03/1975,85.1690
01/04/1975,85.0917
01/05/1975,97.3552
01/06/1975,113.5254
01/07/1975,108.1455
01/08/1975,104.8251
01/09/1975,90.1157
01/10/1975,75.7187
01/11/1975,70.2168
01/12/1975,62.7436
01/01/1976,61.9418
01/02/1976,74.0597
01/03/1976,86.9646
01/04/1976,90.1310
01/05/1976,94.1542
01/06/1976,110.0257
01/07/1976,107.4617
01/08/1976,103.8183
01/09/1976,92.2380
01/10/1976,75.1034
01/11/1976,67.5320
01/12/1976,62.4830
01/01/1977,63.7684
01/02/1977,75.0613
01/03/1977,90.0211
01/04/1977,92.6645
01/05/1977,99.1200
01/06/1977,114.7230
01/07/1977,112.3297
01/08/1977,106.4137
01/09/1977,91.7217
01/10/1977,76.0245
01/11/1977,67.3937
01/12/1977,61.4415
01/01/1978,61.8880
01/02/1978,72.8712
01/03/1978,83.9315
01/04/1978,89.0592
01/05/1978,92.4522
01/06/1978,111.3258
01/07/1978,106.9251
01/08/1978,103.6909
01/09/1978,90.6197
01/10/1978,79.1839
01/11/1978,67.8849
01/12/1978,62.4032
01/01/1979,63.0121
01/02/1979,73.9406
01/03/1979,86.4275
01/04/1979,91.2026
01/05/1979,94.7007
01/06/1979,110.1034
01/07/1979,107.1544
01/08/1979,106.7727
01/09/1979,95.3163
01/10/1979,79.5977
01/11/1979,67.8927
01/12/1979,63.2850
01/01/1980,66.9827
01/02/1980,76.4441
01/03/1980,85.8896
01/04/1980,87.9979
01/05/1980,92.1732
01/06/1980,108.4666
01/07/1980,107.8745
01/08/1980,107.8574
01/09/1980,90.6691
01/10/1980,76.2283
01/11/1980,66.4869
01/12/1980,63.8654
01/01/1981,60.5596
01/02/1981,76.4854
01/03/1981,86.6148
01/04/1981,89.0339
01/05/1981,93.6984
01/06/1981,110.6836
01/07/1981,110.7837
01/08/1981,106.1196
01/09/1981,91.4711
01/10/1981,76.9246
01/11/1981,71.0281
01/12/1981,66.5992
01/01/1982,62.0754
01/02/1982,77.0295
